"artifact","name","version","moduleUrl","moduleLicense","moduleLicenseUrl","projectUrl",
"antlr:antlr:2.7.7","antlr","2.7.7","http://www.antlr.org/","BSD License","http://www.antlr.org/license.html","http://www.antlr.org/",
"aopalliance:aopalliance:1.0","aopalliance","1.0","http://aopalliance.sourceforge.net","Public Domain",,"http://aopalliance.sourceforge.net",
"ch.qos.logback:logback-access:1.2.1","logback-access","1.2.1","http://www.qos.ch","http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",,,
"ch.qos.logback:logback-classic:1.2.1","logback-classic","1.2.1","http://www.qos.ch","http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",,,
"ch.qos.logback:logback-core:1.2.1","logback-core","1.2.1","http://www.qos.ch","http://www.eclipse.org/legal/epl-v10.html, http://www.gnu.org/licenses/old-licenses/lgpl-2.1.html",,,
"com.carrotsearch:hppc:0.7.1","hppc","0.7.1",,"The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml:classmate:1.3.1","classmate","1.3.1","http://github.com/cowtowncoder/java-classmate","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/cowtowncoder/java-classmate",
"com.fasterxml.jackson.core:jackson-annotations:2.8.0","jackson-annotations","2.8.0","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson",
"com.fasterxml.jackson.core:jackson-core:2.8.7","jackson-core","2.8.7","https://github.com/FasterXML/jackson-core","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-core",
"com.fasterxml.jackson.core:jackson-databind:2.8.7","jackson-databind","2.8.7","http://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson",
"com.fasterxml.jackson.dataformat:jackson-dataformat-cbor:2.8.6","jackson-dataformat-cbor","2.8.6","http://github.com/FasterXML/jackson-dataformats-binary","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson-dataformats-binary",
"com.fasterxml.jackson.dataformat:jackson-dataformat-smile:2.8.6","jackson-dataformat-smile","2.8.6","http://github.com/FasterXML/jackson-dataformats-binary","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson-dataformats-binary",
"com.fasterxml.jackson.dataformat:jackson-dataformat-xml:2.4.5","jackson-dataformat-xml","2.4.5","http://wiki.fasterxml.com/JacksonExtensionXmlDataBinding","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://wiki.fasterxml.com/JacksonExtensionXmlDataBinding",
"com.fasterxml.jackson.dataformat:jackson-dataformat-yaml:2.8.7","jackson-dataformat-yaml","2.8.7","https://github.com/FasterXML/jackson","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson",
"com.fasterxml.jackson.datatype:jackson-datatype-guava:2.8.7","jackson-datatype-guava","2.8.7","https://github.com/FasterXML/jackson-datatypes-collections","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-datatypes-collections",
"com.fasterxml.jackson.datatype:jackson-datatype-hibernate5:2.8.7","jackson-datatype-hibernate5","2.8.7","https://github.com/FasterXML/jackson-datatype-hibernate","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-datatype-hibernate",
"com.fasterxml.jackson.datatype:jackson-datatype-jdk8:2.8.7","jackson-datatype-jdk8","2.8.7","https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jdk8","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.datatype:jackson-datatype-joda:2.8.7","jackson-datatype-joda","2.8.7","http://wiki.fasterxml.com/JacksonModuleJoda","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://wiki.fasterxml.com/JacksonModuleJoda",
"com.fasterxml.jackson.datatype:jackson-datatype-jsr310:2.8.7","jackson-datatype-jsr310","2.8.7","https://github.com/FasterXML/jackson-modules-java8/jackson-datatype-jsr310","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.jaxrs:jackson-jaxrs-base:2.8.7","jackson-jaxrs-base","2.8.7","http://github.com/FasterXML/jackson-jaxrs-providers/jackson-jaxrs-base","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider:2.8.7","jackson-jaxrs-json-provider","2.8.7","http://github.com/FasterXML/jackson-jaxrs-providers/jackson-jaxrs-json-provider","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.fasterxml.jackson.module:jackson-module-afterburner:2.8.7","jackson-module-afterburner","2.8.7","https://github.com/FasterXML/jackson-modules-base","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-modules-base",
"com.fasterxml.jackson.module:jackson-module-guice:2.8.2","jackson-module-guice","2.8.2","https://github.com/FasterXML/jackson-modules-base","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/FasterXML/jackson-modules-base",
"com.fasterxml.jackson.module:jackson-module-jaxb-annotations:2.8.7","jackson-module-jaxb-annotations","2.8.7","http://github.com/FasterXML/jackson-module-jaxb-annotations","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/FasterXML/jackson-module-jaxb-annotations",
"com.fasterxml.jackson.module:jackson-module-parameter-names:2.8.7","jackson-module-parameter-names","2.8.7","https://github.com/FasterXML/jackson-modules-java8/jackson-module-parameter-names","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.github.spullara.mustache.java:compiler:0.9.4","compiler","0.9.4","http://github.com/spullara/mustache.java","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://github.com/spullara/mustache.java",
"com.github.stephenc.jcip:jcip-annotations:1.0-1","jcip-annotations","1.0-1","http://stephenc.github.com/jcip-annotations","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://stephenc.github.com/jcip-annotations",
"com.github.virtuald:curvesapi:1.04","curvesapi","1.04","https://github.com/virtuald/curvesapi","BSD License","http://opensource.org/licenses/BSD-3-Clause","https://github.com/virtuald/curvesapi",
"com.google.code.findbugs:annotations:3.0.1","annotations","3.0.1","http://findbugs.sourceforge.net/","GNU Lesser Public License","http://www.gnu.org/licenses/lgpl.html","http://findbugs.sourceforge.net/",
"com.google.code.findbugs:jsr305:3.0.1","jsr305","3.0.1","http://findbugs.sourceforge.net/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://findbugs.sourceforge.net/",
"com.google.errorprone:error_prone_annotations:2.0.18","error_prone_annotations","2.0.18",,"Apache 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.guava:guava:22.0","guava","22.0","https://github.com/google/guava/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.inject:guice:4.0","guice","4.0","https://github.com/google/guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.inject.extensions:guice-multibindings:4.0","guice-multibindings","4.0","https://github.com/google/guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.inject.extensions:guice-servlet:4.0","guice-servlet","4.0","https://github.com/google/guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
"com.google.j2objc:j2objc-annotations:1.1","j2objc-annotations","1.1","https://github.com/google/j2objc/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/google/j2objc/",
"com.google.protobuf:protobuf-java:2.6.0","protobuf-java","2.6.0","http://code.google.com/p/protobuf","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://code.google.com/p/protobuf",
"com.googlecode.owasp-java-html-sanitizer:owasp-java-html-sanitizer:r239","owasp-java-html-sanitizer","r239","http://code.google.com/p/owasp-java-html-sanitizer","New BSD License","http://www.opensource.org/licenses/bsd-license.php","http://code.google.com/p/owasp-java-html-sanitizer",
"com.hubspot.dropwizard:dropwizard-guice:1.0.6.0","dropwizard-guice","1.0.6.0","https://github.com/HubSpot/dropwizard-guice",,,"https://github.com/HubSpot/dropwizard-guice",
"com.ibm:db2jcc4:4.0.0","db2jcc4","4.0.0",,,,,
"com.ibm:db2jcc_license_cisuz:4.0.0","db2jcc_license_cisuz","4.0.0",,,,,
"com.jayway.jsonpath:json-path:2.4.0","json-path","2.4.0","https://github.com/jayway/JsonPath","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/jayway/JsonPath",
"com.nimbusds:nimbus-jose-jwt:4.39","nimbus-jose-jwt","4.39","https://bitbucket.org/connect2id/nimbus-jose-jwt","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://bitbucket.org/connect2id/nimbus-jose-jwt",
"com.papertrail:profiler:1.0.2","profiler","1.0.2","https://github.com/papertrail/profiler","The Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/papertrail/profiler",
"com.squarespace.jersey2-guice:0-jersey2-guice-spi:1.0.6","0-jersey2-guice-spi","1.0.6","https://github.com/Squarespace/jersey2-guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/Squarespace/jersey2-guice",
"com.squarespace.jersey2-guice:jersey2-guice-impl:1.0.6","jersey2-guice-impl","1.0.6","https://github.com/Squarespace/jersey2-guice","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/Squarespace/jersey2-guice",
"com.sun.mail:javax.mail:1.5.3","javax.mail","1.5.3","http://www.oracle.com","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0","http://opensource.org/licenses/CDDL-1.0",,
"com.tdunning:t-digest:3.0","t-digest","3.0","https://github.com/tdunning/t-digest","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/tdunning/t-digest",
"com.thoughtworks.xstream:xstream:1.4.9","xstream","1.4.9","http://x-stream.github.io","BSD style","http://x-stream.github.io/license.html",,
"com.unboundid:unboundid-ldapsdk:3.2.0","unboundid-ldapsdk","3.2.0","https://www.ldap.com/unboundid-ldap-sdk-for-java","UnboundID LDAP SDK Free Use License","https://docs.ldap.com/ldap-sdk/docs/LICENSE-UnboundID-LDAPSDK.txt","https://www.ldap.com/unboundid-ldap-sdk-for-java",
"commons-beanutils:commons-beanutils:1.8.3","commons-beanutils","1.8.3","http://commons.apache.org/beanutils/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/beanutils/",
"commons-codec:commons-codec:1.10","commons-codec","1.10","http://commons.apache.org/proper/commons-codec/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/proper/commons-codec/",
"commons-io:commons-io:2.6","commons-io","2.6","http://commons.apache.org/proper/commons-io/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/proper/commons-io/",
"commons-logging:commons-logging:1.2","commons-logging","1.2","http://commons.apache.org/proper/commons-logging/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/proper/commons-logging/",
"dom4j:dom4j:1.6.1","dom4j","1.6.1","http://dom4j.org",,,"http://dom4j.org",
"gov.ca.cwds.api:api-core:1.6.3_681-RC","api-core","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:api-core-abac:1.6.3_681-RC","api-core-abac","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:api-core-cms:1.6.3_681-RC","api-core-cms","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:api-core-common:1.6.3_681-RC","api-core-common","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:api-core-rest:1.6.3_681-RC","api-core-rest","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:api-security:1.6.2_418-RC","api-security","1.6.2_418-RC",,,,,
"gov.ca.cwds.api:api-security-common:1.6.2_418-RC","api-security-common","1.6.2_418-RC",,,,,
"gov.ca.cwds.api:drools-engine:1.6.3_681-RC","drools-engine","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:jwt-security:1.6.2_418-RC","jwt-security","1.6.2_418-RC",,,,,
"gov.ca.cwds.api:legacy-data-access:1.6.3_681-RC","legacy-data-access","1.6.3_681-RC",,,,,
"gov.ca.cwds.api:legacy-data-access-services:1.6.3_681-RC","legacy-data-access-services","1.6.3_681-RC",,,,,
"gov.ca.cwds.cals:intake-ns-data-model:0.6.2_500-RC","intake-ns-data-model","0.6.2_500-RC",,,,,
"io.dropwizard:dropwizard-assets:1.1.0","dropwizard-assets","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-client:1.1.0","dropwizard-client","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-configuration:1.1.0","dropwizard-configuration","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-core:1.1.0","dropwizard-core","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-db:1.1.0","dropwizard-db","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-hibernate:1.1.0","dropwizard-hibernate","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-jackson:1.1.0","dropwizard-jackson","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-jersey:1.1.0","dropwizard-jersey","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-jetty:1.1.0","dropwizard-jetty","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-lifecycle:1.1.0","dropwizard-lifecycle","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-logging:1.1.0","dropwizard-logging","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-metrics:1.1.0","dropwizard-metrics","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-request-logging:1.1.0","dropwizard-request-logging","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-servlets:1.1.0","dropwizard-servlets","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-testing:1.1.0","dropwizard-testing","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-util:1.1.0","dropwizard-util","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-validation:1.1.0","dropwizard-validation","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-views:1.1.0","dropwizard-views","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard:dropwizard-views-mustache:1.1.0","dropwizard-views-mustache","1.1.0",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-annotation:3.2.2","metrics-annotation","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-core:3.2.2","metrics-core","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-healthchecks:3.2.2","metrics-healthchecks","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-httpclient:3.2.2","metrics-httpclient","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-jersey2:3.2.2","metrics-jersey2","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-jetty9:3.2.2","metrics-jetty9","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-json:3.2.2","metrics-json","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-jvm:3.2.2","metrics-jvm","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-logback:3.2.2","metrics-logback","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.metrics:metrics-servlets:3.2.2","metrics-servlets","3.2.2",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.dropwizard.modules:dropwizard-flyway:1.0.0-1","dropwizard-flyway","1.0.0-1","https://github.com/dropwizard/dropwizard-flyway","Apache 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","https://github.com/dropwizard/dropwizard-flyway",
"io.netty:netty:3.10.6.Final","netty","3.10.6.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0","http://netty.io/",
"io.netty:netty-buffer:4.1.11.Final","netty-buffer","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.netty:netty-codec:4.1.11.Final","netty-codec","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.netty:netty-codec-http:4.1.11.Final","netty-codec-http","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.netty:netty-common:4.1.11.Final","netty-common","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.netty:netty-handler:4.1.11.Final","netty-handler","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.netty:netty-resolver:4.1.11.Final","netty-resolver","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.netty:netty-transport:4.1.11.Final","netty-transport","4.1.11.Final","http://netty.io/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0",,
"io.swagger:swagger-annotations:1.5.9","swagger-annotations","1.5.9",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.swagger:swagger-core:1.5.9","swagger-core","1.5.9",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.swagger:swagger-jaxrs:1.5.9","swagger-jaxrs","1.5.9",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.swagger:swagger-jersey2-jaxrs:1.5.9","swagger-jersey2-jaxrs","1.5.9",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"io.swagger:swagger-models:1.5.9","swagger-models","1.5.9",,"Apache License 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"javax.activation:activation:1.1","activation","1.1","http://java.sun.com/products/javabeans/jaf/index.jsp","Common Development and Distribution License (CDDL) v1.0","https://glassfish.dev.java.net/public/CDDLv1.0.html","http://java.sun.com/products/javabeans/jaf/index.jsp",
"javax.annotation:javax.annotation-api:1.2","javax.annotation-api","1.2","https://glassfish.java.net","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0","http://opensource.org/licenses/CDDL-1.0","http://jcp.org/en/jsr/detail?id=250",
"javax.el:javax.el-api:2.2.4","javax.el-api","2.2.4","http://uel.java.net","CDDL + GPLv2 with classpath exception","http://glassfish.dev.java.net/nonav/public/CDDL+GPL.html","http://uel.java.net",
"javax.inject:javax.inject:1","javax.inject","1","http://code.google.com/p/atinject/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://code.google.com/p/atinject/",
"javax.servlet:javax.servlet-api:3.1.0","javax.servlet-api","3.1.0","https://glassfish.dev.java.net","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0","http://opensource.org/licenses/CDDL-1.0","http://servlet-spec.java.net",
"javax.transaction:jta:1.1","jta","1.1","http://java.sun.com/products/jta","COMMON DEVELOPMENT AND DISTRIBUTION LICENSE (CDDL) Version 1.0","http://opensource.org/licenses/CDDL-1.0","http://java.sun.com/products/jta",
"javax.validation:validation-api:1.1.0.Final","validation-api","1.1.0.Final","http://beanvalidation.org","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://beanvalidation.org",
"javax.ws.rs:javax.ws.rs-api:2.0.1","javax.ws.rs-api","2.0.1","http://www.oracle.com/","http://glassfish.java.net/public/CDDL+GPL_1_1.html, http://glassfish.java.net/public/CDDL+GPL_1_1.html",,"http://jax-rs-spec.java.net",
"joda-time:joda-time:2.9.7","joda-time","2.9.7","http://www.joda.org/joda-time/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0","http://www.joda.org/joda-time/",
"junit:junit:4.12","junit","4.12","http://junit.org","Eclipse Public License 1.0","http://www.eclipse.org/legal/epl-v10.html","http://junit.org",
"net.jcip:jcip-annotations:1.0","jcip-annotations","1.0","http://jcip.net/",,,"http://jcip.net/",
"net.minidev:accessors-smart:1.2","accessors-smart","1.2","http://www.minidev.net/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://www.minidev.net/",
"net.minidev:json-smart:2.3","json-smart","2.3","http://www.minidev.net/","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://www.minidev.net/",
"net.sf.jopt-simple:jopt-simple:5.0.2","jopt-simple","5.0.2","http://pholser.github.io/jopt-simple","The MIT License","http://www.opensource.org/licenses/mit-license.php","http://pholser.github.io/jopt-simple",
"net.sf.supercsv:super-csv:2.4.0","super-csv","2.4.0","https://github.com/super-csv/super-csv","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.html",,
"net.sourceforge.argparse4j:argparse4j:0.7.0","argparse4j","0.7.0","http://argparse4j.github.io","MIT","https://raw.github.com/tatsuhiro-t/argparse4j/master/LICENSE.txt","http://argparse4j.github.io",
"org.antlr:antlr-runtime:3.5","antlr-runtime","3.5","http://www.antlr.org","BSD licence","http://antlr.org/license.html","http://www.antlr.org",
"org.apache.commons:commons-collections4:4.1","commons-collections4","4.1","http://commons.apache.org/proper/commons-collections/","Apache License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/proper/commons-collections/",
"org.apache.commons:commons-lang3:3.6","commons-lang3","3.6","http://commons.apache.org/proper/commons-lang/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/proper/commons-lang/",
"org.apache.commons:commons-text:1.1","commons-text","1.1","http://commons.apache.org/proper/commons-text/","Apache License, Version 2.0","https://www.apache.org/licenses/LICENSE-2.0.txt","http://commons.apache.org/proper/commons-text/",
"org.apache.geronimo.specs:geronimo-jta_1.1_spec:1.1.1","geronimo-jta_1.1_spec","1.1.1","http://www.apache.org","The Apache Software License, Version 2.0","http://www.apache.org/licenses/LICENSE-2.0.txt",,
